"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
34,640492,"Azocar, José",67,50.7,0.429,0,0.429,0.429,0.45,0.516,0.493,3,7,89.4,10.4,2199,87.9,88.42,1,16,18,0.5,6.61,109,150,102,147,308,317,287,"-1.196","1.196","70.0","6.7",9,7,3,0,0,0,0,0,2,22.2,2.45588,0.52765,0.43588,-0.43588,"90.8",169,28.57142857142857,0,0,6.13,1.55,0.04,2.44,0.556,0,"3.517647059",0.606,0.578,"-3.517647059",-0.064,-0.04999999999999993,-0.149,-0.066,6.3,"43.9",0.04289132374508475,7.584709575898733,40.15888893623415,0.25,34.000057522668314,25.977073790631437
41,669004,"Melendez, MJ",226,18.1,0.143,0.429,0,0.571,0.421,0.511,0.264,1,7,92.8,35,2249,89.6,89.68,3,16,25,0.10000000000000853,6.39,116,140,114,146,299,326,302,"-0.513","0.513","67.1","7.1",10,5,0,0,0,1,2,20,1,10,2.02146,0.87525,0.4225,0.4225,"92.0",206,40,40,20,5.78,1.5,0.02,2.63,0.4,2,"1.251219512",0.485,0.764,"-1.251219512",-0.121,-0.08499999999999996,-0.193,-0.09,18.8,"39.8",6.691831963335176,6.946824807729639,27.20511179258527,0.4375,39.34415275303065,23.215018354467016
117,681351,"O'Hoppe, Logan",967,12.1,0.353,0.353,0.381,0.706,0.459,0.509,0.358,12,34,96.3,16.5,2167,86.8,86.97,17,55,62,0.20000000000000284,6.47,107,152,123,146,304,324,298,"-4.311","4.311","69.3","7.5",35,25,8,0,0,4,9,25.7,1,2.9,2.51068,0.59718,0.26672,-0.26672,"96.3",196,72,24,17.142857142857142,5.59,2.21,0.14,2.49,0.371,6,"3.684615385",0.377,0.855,"-3.684615385",-0.005,-0.006000000000000005,-0.149,-0.05,30.9,"35.2",16.340879732708157,-1.2262840684900473,33.95427085103226,0.5102040816326531,37.204238799665966,32.385594055172454
68,605170,"Caratini, Victor",665,10.2,0.294,0.588,0.25,0.882,0.516,0.508,0.291,5,17,97.2,27.5,2248,87.6,87.3,12,36,32,-0.29999999999999716,6.38,102,152,122,146,297,322,287,"-5.165","5.165","70.0","7.1",19,11,1,1,0,3,6,31.6,0,0,2.41044,0.6425,0.37662,-0.37662,"93.1",214,54.54545454545454,36.36363636363637,21.052631578947366,5.64,2.52,0.1,2.62,0.368,4,"7.595588235",0.365,0.882,"-7.595588235",0.003,0.0030000000000000027,0,0.008,33.3,"32.1",13.680607236412335,2.8248793207925083,40.44046758150553,0.5,34.81959408608044,33.122925993674684
39,671213,"Casas, Triston",437,8.9,0.455,0.455,0.5,0.909,0.589,0.498,0.363,5,11,92.2,10.7,2221,88.7,88.54,5,23,16,-0.20000000000000284,6.37,117,148,126,152,288,325,304,"-2.627","2.627","73.7","7.7",12,9,2,2,0,1,2,16.7,1,8.3,2.53513,0.43703,0.58872,0.58872,"93.8",164,55.55555555555556,33.33333333333333,25,5.57,2.23,-0.15,2.31,0.5,3,"6.735897436",0.416,0.786,"-6.735897436",0.092,0.08400000000000002,0.123,0.091,21.7,"30.0",11.69745602160729,-0.6994330372464258,37.97134576203104,0.43478260869565216,37.87562623742793,30.07802202990519
240,671056,"Herrera, Iván",706,34,0.333,0.4,0.303,0.733,0.491,0.497,0.334,15,45,91.1,11.2,2171,88.5,88.49,25,100,140,0,6.33,106,149,122,146,304,322,291,"-9.454","9.454","74.1","7.9",57,38,7,3,0,5,8,14,10,17.5,2.33708,0.62146,0.49184,-0.49184,"93.4",153,52.63157894736842,21.052631578947366,14.035087719298245,5.98,1.88,-0.04,2.24,0.456,8,"3.939166667",0.46,0.75,"-3.939166667",-0.001,-0.0040000000000000036,-0.017,-0.006,25,"41.7",9.842126200220537,-0.17393762635513732,33.46756365179629,0.5052631578947369,36.285107743209295,31.271367186445243
69,669450,"Hummel, Cooper",135,51.1,0.364,0.545,0.5,0.909,0.564,0.497,0.312,4,11,96,15.3,2102,86.7,86.38,7,22,47,-0.29999999999999716,6.36,101,149,115,144,302,322,287,"-1.921","1.921","73.9","7.4",13,6,2,0,0,2,5,38.5,1,7.7,2.75043,0.36632,0.54087,-0.54087,"92.1",168,50,33.33333333333333,15.384615384615385,5.61,2.02,-0.08,2.07,0.462,2,"2.784057971",0.418,0.803,"-2.784057971",0.052,0.04400000000000004,0.106,0.067,31.8,"34.1",10.198597725975137,-6.222306147720445,27.418179376225716,0.5909090909090909,36.976211917235894,32.8492420414418
265,592450,"Judge, Aaron",1347,19.7,0.361,0.557,0.375,0.918,0.554,0.492,0.297,22,61,97,19.7,2179,88.2,88.25,48,116,149,0,6.41,107,152,124,146,307,334,297,"-14.418","14.418","74.4","8.2",68,42,8,4,0,10,19,27.9,7,10.3,2.30494,0.69221,0.45158,-0.45158,"97.0",204,66.66666666666666,33.33333333333333,20.588235294117645,5.9,1.99,-0.04,2.5,0.426,14,"5.440754717",0.37,0.842,"-5.440754717",0.064,0.055999999999999994,0.076,0.062,41.4,"41.4",15.399165526416697,-6.036989153849815,38.360985368394566,0.5258620689655172,41.506457944717056,30.23550288059422
329,502671,"Goldschmidt, Paul",1205,27.3,0.408,0.303,0.433,0.711,0.504,0.487,0.39,31,76,93.3,17.8,2190,87.8,87.84,25,136,193,0,6.45,109,152,123,147,305,327,294,"-14.42","14.42","73.0","7.7",86,65,18,8,0,5,11,12.8,9,10.5,2.3217,0.70231,0.32506,-0.32506,"94.8",204,50.76923076923077,13.846153846153847,10.465116279069768,5.83,2.04,-0.08,2.44,0.477,9,"4.382978723",0.461,0.696,"-4.382978723",0.018,0.01599999999999996,0.015,0.017,18.4,"39.2",10.296167012532639,0.27443611262870604,31.695107797638432,0.42962962962962964,40.38558887486696,22.124508000781503
291,665489,"Guerrero Jr., Vladimir",1290,22.6,0.338,0.2,0.373,0.538,0.417,0.475,0.37,22,65,94.6,8.9,2120,89.1,89.25,22,125,166,0.20000000000000284,6.54,107,151,122,147,305,324,292,"-5.007","5.007","75.0","7.5",74,54,15,4,0,3,11,14.9,8,10.8,2.28942,0.63677,0.62509,-0.62509,"94.2",165,53.70370370370371,20.37037037037037,14.864864864864865,5.7,2.14,0.08,2.31,0.419,11,"1.720618557",0.448,0.675,"-1.720618557",-0.032,-0.029000000000000026,-0.137,-0.058,17.6,"35.7",1.1870865493658218,-0.4178201222096971,28.51414042554941,0.2975206611570248,37.77722986821395,32.32153659396022
